CODE,NAME,AGES_0-14,AGES_15-64,AGES_65P,AGES_W_15-49,AGES_0,AGES_1-4,AGES_5-9,AGES_10-14,AGES_15-19,AGES_20-24,AGES_25-29,AGES_30-34,AGES_35-39,AGES_40-44,AGES_45-49,AGES_50-54,AGES_55-59,AGES_60-64,AGES_65-69,AGES_70-74,AGES_75-79,AGES_80-84,AGES_85P
623025,玛曲县,0.2808,0.6643,0.0548,0.2607,0.0157,0.073,0.1021,0.0901,0.0703,0.0678,0.0953,0.0909,0.0862,0.0731,0.0722,0.0576,0.0365,0.0144,0.0167,0.0151,0.0112,0.007,0.0047
623026,碌曲县,0.2365,0.6848,0.0788,0.2669,0.013,0.0582,0.0852,0.08,0.0642,0.0588,0.0886,0.0982,0.0838,0.0768,0.0808,0.0667,0.0477,0.0191,0.0239,0.0225,0.0163,0.0099,0.0061
623027,夏河县,0.2286,0.673,0.0984,0.2433,0.0132,0.0617,0.0811,0.0725,0.057,0.057,0.0787,0.0812,0.0779,0.0823,0.0813,0.0752,0.0568,0.0256,0.031,0.0263,0.0197,0.013,0.0084
630102,城东区,0.1565,0.7441,0.0995,0.2529,0.0095,0.0467,0.0525,0.0477,0.0462,0.0668,0.0888,0.0964,0.0661,0.071,0.0904,0.0985,0.0776,0.0423,0.0341,0.0231,0.0201,0.0149,0.0073
630103,城中区,0.1366,0.7515,0.1118,0.2503,0.0073,0.039,0.0463,0.0441,0.0515,0.0572,0.0795,0.0887,0.0689,0.0776,0.0945,0.102,0.0835,0.0482,0.0387,0.0252,0.0219,0.0169,0.0091
630104,城西区,0.1525,0.7433,0.1043,0.2585,0.0091,0.0456,0.0511,0.0467,0.0331,0.0546,0.0797,0.0956,0.0751,0.0785,0.0958,0.099,0.0844,0.0475,0.0352,0.0233,0.0206,0.0168,0.0083
630105,城北区,0.1337,0.7735,0.0928,0.2736,0.0088,0.0418,0.0445,0.0385,0.0587,0.0943,0.0843,0.0985,0.0674,0.0702,0.0891,0.097,0.0722,0.0418,0.0333,0.0211,0.0184,0.0134,0.0065
630106,湟中区,0.198,0.6989,0.1031,0.231,0.0098,0.0465,0.0701,0.0716,0.072,0.0489,0.0619,0.0689,0.059,0.0793,0.1028,0.1005,0.0705,0.0351,0.044,0.0298,0.0181,0.0077,0.0035
630121,大通回族土族自治县,0.2031,0.7027,0.0942,0.2436,0.0107,0.0505,0.0728,0.0692,0.0637,0.051,0.0651,0.0728,0.0636,0.0827,0.0974,0.096,0.0717,0.0387,0.0409,0.0275,0.0162,0.0068,0.0029
630123,湟源县,0.153,0.7288,0.1181,0.2343,0.0083,0.0394,0.0542,0.0512,0.0571,0.0531,0.0613,0.0689,0.0592,0.0781,0.1051,0.1108,0.0833,0.052,0.0508,0.033,0.0211,0.0093,0.0039
