CODE,NAME,GHSL_POP,GHSL_POP_DENS,GHSL_URB,GHSL_POP_30,GHSL_POP_23,GHSL_POP_22,GHSL_POP_21,GHSL_POP_13,GHSL_POP_12,GHSL_POP_11,GHSL_POP_10,GHSL_VAR
231283,海伦市,785207,169.2,0.4041,0.1649,0.0527,0.0345,0.1521,0.3858,0.1937,0.0164,0,0.6351
232701,漠河市,83879,4.6,0.7463,0,0.4868,0.1132,0.1463,0.1476,0.0857,0.0203,0,0.5523
232721,呼玛县,52613,3.7,0.3926,0,0.121,0,0.2716,0.1582,0.3506,0.0987,0,0.4469
232722,塔河县,92257,6.6,0.6757,0,0.5855,0,0.0902,0.2256,0.0815,0.0172,0,0.807
232761,加格达奇,152687,114.2,0.919,0.7663,0,0,0.1527,0.021,0.0497,0.0104,0,0.1137
232762,松岭区,35272,2.1,0.7675,0,0.4662,0.2194,0.0819,0.0923,0.0792,0.0611,0,1.2051
232763,新林区,49631,5.7,0.5695,0,0.3865,0.0732,0.1097,0.3444,0.0699,0.0163,0,1.4374
232764,呼中区,44548,4.8,0.9375,0,0.648,0.1112,0.1783,0.0256,0.0313,0.0056,0,1.7231
310101,黄浦区,866501,42442.4,1,1,0,0,0,0,0,0,0,0.3089
310104,徐汇区,1552639,28191.6,1,1,0,0,0,0,0,0,0,0.3949
310105,长宁区,1076843,28983.2,1,1,0,0,0,0,0,0,0,0.5538
310106,静安区,1272031,34415.4,1,1,0,0,0,0,0,0,0,0.3037
310107,普陀区,1869599,33328.5,1,1,0,0,0,0,0,0,0,0.508
310109,虹口区,1101560,46837.4,1,1,0,0,0,0,0,0,0,0.4542
310110,杨浦区,1870593,30912.4,1,1,0,0,0,0,0,0,0,0.5054
310112,闵行区,2928977,7821,1,0.9981,0,0,0.0019,0,0,0,0,0.1038
310113,宝山区,2541772,6948.3,0.9999,0.9974,0,0,0.0025,0,0.0001,0,0,0.1371
310114,嘉定区,1909328,4119.6,0.9986,0.972,0.0059,0,0.0207,0,0.0013,0,0,0.0409
310115,浦东新区,6844541,4201.9,0.9976,0.9316,0.0296,0.0012,0.0352,0.0002,0.002,0.0002,0,0.2047
310116,金山区,971071,1594.2,0.9625,0.4717,0.3279,0,0.1629,0.0013,0.0361,0.0001,0,0.1802
310117,松江区,2226386,3674.9,0.9939,0.8853,0.0641,0,0.0446,0,0.006,0.0001,0,0.1658
310118,青浦区,1403669,2091.4,0.9883,0.776,0.1048,0.0118,0.0957,0,0.0114,0.0003,0,0.104
310120,奉贤区,1425639,1988.4,0.978,0.7544,0.1104,0,0.1131,0,0.0216,0.0005,0,0.2496
310151,崇明区,920516,368,0.9343,0.1945,0.2457,0.0289,0.4652,0.0107,0.0507,0.0043,0,0.443
320102,玄武区,1066155,14005.4,1,1,0,0,0,0,0,0,0,0.9823
320104,秦淮区,1291507,26268.3,1,1,0,0,0,0,0,0,0,0.7434
320105,建邺区,879160,10627.2,1,1,0,0,0,0,0,0,0,0.6456
320106,鼓楼区,1270252,23966.5,1,1,0,0,0,0,0,0,0,0.3508
320111,浦口区,739618,810,0.9102,0.7213,0.0608,0.0315,0.0966,0.0143,0.0698,0.0057,0,-0.3687
320113,栖霞区,763292,2040.6,0.9881,0.8249,0.0403,0.0075,0.1155,0,0.0118,0.0001,0,-0.2273
320114,雨花台区,477870,3510.5,0.9958,0.9761,0.0006,0,0.0191,0,0.0041,0.0001,0,-0.215
320115,江宁区,1531128,969.2,0.9379,0.6189,0.116,0.0079,0.1951,0.0024,0.0577,0.002,0,-0.2051
320116,六合区,1159892,782.9,0.909,0.4695,0.1409,0.0179,0.2807,0.0076,0.082,0.0014,0,0.2254
320117,溧水区,439423,413.3,0.7599,0.3659,0.0923,0.0604,0.2413,0.0622,0.169,0.0089,0,-0.1057
320118,高淳区,452133,566.8,0.89,0.3169,0.1812,0.0247,0.3672,0.0166,0.0894,0.004,0,0.0535
320205,锡山区,693564,1735.7,0.9775,0.6617,0.1713,0,0.1445,0,0.0225,0,0,-0.214
320206,惠山区,821072,2502.7,0.9969,0.8628,0.0518,0,0.0823,0,0.0031,0,0,-0.0812
320211,滨湖区,743431,1183.3,0.987,0.8485,0.0691,0,0.0694,0,0.012,0.001,0,-0.1876
320213,梁溪区,806619,11323.5,1,1,0,0,0,0,0,0,0,-0.1815
